Cruise,Station,Latitude [degrees_north],Longitude [degrees_east],Date,Pressure,Depth [m],Bot. Depth [m],Temperature [degrees_C],Conductivity [mS/cm],Type
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,0.25002968886204435,0.254959274207648,41.6757171792824,23.878145217895508,10.631751953125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,0.4080028664100368,0.416047050924177,41.6757171792824,23.478240966796875,10.62074609375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,0.55165567042287478,0.562532113620932,41.6757171792824,23.356670379638672,10.6245302734375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,0.68708112610807426,0.700627617590421,41.6757171792824,23.304470062255859,10.649259765625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,0.8095156302551878,0.825476040421299,41.6757171792824,23.280445098876953,10.658509765625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,0.92637781537153963,0.944642280379405,41.6757171792824,23.265041351318359,10.696953125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.0517153041377956,1.07245092307418,41.6757171792824,23.249624252319336,10.7093505859375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.1905596822473115,1.2140327569425,41.6757171792824,23.236593246459961,10.728984375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.3498002929618078,1.37641295553784,41.6757171792824,23.225194931030273,10.7322841796875,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.4907475229389995,1.52013910110126,41.6757171792824,23.209615707397461,10.7314541015625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.671910639130278,1.70487402929137,41.6757171792824,23.211906433105469,10.768689453125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.680114033658251,1.71323916194586,41.6757171792824,23.209636688232422,10.773369140625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.6967936855104426,1.73024766981397,41.6757171792824,23.21046257019043,10.7797373046875,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7580177317542098,1.79267880935348,41.6757171792824,23.206497192382812,10.781455078125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7651615941166554,1.79996352010626,41.6757171792824,23.206882476806641,10.782359375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.7905826247530268,1.82588575178266,41.6757171792824,23.212863922119141,10.78806640625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.901278969588553,1.93876458575296,41.6757171792824,23.22606086730957,10.793087890625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.9078916353567603,1.94550762683945,41.6757171792824,23.23774528503418,10.7892158203125,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.902319204384245,1.93982532981788,41.6757171792824,23.219400405883789,10.7720322265625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.8601876684922978,1.89686312856429,41.6757171792824,23.204523086547852,10.734927734375,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.8085203431106027,1.84417713019537,41.6757171792824,23.181299209594727,10.71550390625,c
Nord3_18,18001,55.0008726,19.9260096,2018-07-26 06:18:56,1.6333739043800701,1.66557750427883,41.6757171792824,23.18535041809082,10.7519609375,c
